post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47615058,Old code never dies: why legacy software is often safer than new code,worldnews,6,0,speckx,2026-04-05 13:25:50,0.0,False
47639757,Hims and Hers warns of data breach after Zendesk support ticket breach,worldnews,8,0,Brajeshwar,2026-04-05 13:25:56,0.0,False
47613668,Show HN: Abject: the first self-aware object runtime,worldnews,10,3,mempko,2026-04-05 13:25:58,0.2727272727272727,False
47641555,US deploying nearly all stealthy long-range JASSM-ER cruise missiles to Iran war,worldnews,61,77,prmph,2026-04-05 13:26:00,1.2419354838709677,False
47608080,Show HN: 65k AI voters predict UK local elections with 75% accuracy,worldnews,9,9,JasonDuke,2026-04-05 13:26:09,0.9,False
47592113,"Jami – free/libre, end-to-end encrypted, and private communication software",worldnews,44,4,smartmic,2026-04-05 13:26:19,0.08888888888888889,False
47617630,"Show HN: Mac-hardware toys, control your Mac's hardware like a modular synth",worldnews,7,1,nikisweeting,2026-04-05 13:26:21,0.125,False
47639585,The War Against Misinformation Is Over. The Lies Won,worldnews,12,0,cainxinth,2026-04-05 13:26:23,0.0,False
47606909,Cindy Cohn of the EFF Interviewed by Jon Stewart on the Daily Show [video],worldnews,36,1,latexr,2026-04-05 13:26:33,0.02702702702702703,False
47613181,Show HN: I run a full software company solo with Claude Code agents,worldnews,6,0,martinovigiani,2026-04-05 13:26:41,0.0,False
47629840,North Korea–linked hackers drain $285M from Drift in sophisticated attack,worldnews,6,2,lschueller,2026-04-05 13:26:45,0.2857142857142857,False
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,8,0,andsoitis,2026-04-05 13:27:17,0.0,False
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,193,128,pseudolus,2026-04-05 13:27:23,0.6597938144329897,True
47641615,Sopwith – 1984 Game (2000),sports,92,40,elvis70,2026-04-05 13:27:30,0.43010752688172044,False
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,60,angst,2026-04-05 13:28:01,0.9230769230769231,False
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,779,364,hkmaxpro,2026-04-05 13:28:42,0.4666666666666667,True
47632901,Sandbox Strategy Game for AI,sports,6,0,Stefan_Golas,2026-04-05 13:30:43,0.0,False
47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",sports,25,14,arttaboi,2026-04-05 13:30:50,0.5384615384615384,False
47602986,Show HN: Real-time dashboard for Claude Code agent teams,sports,76,29,simple10,2026-04-05 13:32:06,0.37662337662337664,False
47621557,Show HN: SkiFlee (an HTML5 game),sports,8,9,BSTRhino,2026-04-05 13:33:15,1.0,False
47620867,Proton Workspace: An encrypted suite for team collaboration,sports,26,4,teekert,2026-04-05 13:33:49,0.14814814814814814,False
47611993,VR Realizes the Cyberspace Metaphor,science,12,6,dryadin,2026-04-05 13:34:32,0.46153846153846156,False
47629485,A case study in testing with 100+ Claude agents in parallel,science,49,41,thejash,2026-04-05 13:34:48,0.82,False
47645240,SpaceX Pushes Back Crucial Starship Test Launch,science,11,4,bookmtn,2026-04-05 13:35:16,0.3333333333333333,False
47632504,"""Cognitive surrender"" leads AI users to abandon logical thinking, research finds",science,96,39,Bender,2026-04-05 13:36:27,0.4020618556701031,False
47604155,SpaceX files to go public,science,397,572,nutjob2,2026-04-05 13:36:29,1.4371859296482412,True
47588349,GitHub Monaspace Case Study,science,146,50,homebrewer,2026-04-05 13:37:38,0.3401360544217687,True
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-05 13:37:44,0.14634146341463414,False
47624879,Switzerland hosts 'CERN of semiconductor research',science,34,6,teleforce,2026-04-05 13:38:43,0.17142857142857143,False
47642779,Big Banks Seeking a Piece of SpaceX's IPO Must Subscribe to Elon Musk's Grok,science,11,0,codydh,2026-04-05 13:39:09,0.0,False
47630141,Quantum computer researchers: Bitcoin encryption breakable in a few years,science,15,7,croes,2026-04-05 13:39:22,0.4375,False
47637013,MIT study challenges AI job apocalypse narrative,science,5,2,TMWNN,2026-04-05 13:39:34,0.3333333333333333,False
47609883,"Salomi, a research repo on extreme low-bit transformer quantization",science,12,4,Edward9055,2026-04-05 13:39:44,0.3076923076923077,False
47609725,Show HN: NASA Artemis II Mission Timeline Tracker,science,93,17,AustinDev,2026-04-05 13:39:58,0.18085106382978725,False
47613118,Show HN: I built a small app for FSI German Course,entertainment,23,6,syedmsawaid,2026-04-05 13:40:46,0.25,False
47639303,"Show HN: I made open source, zero power PCB hackathon badges",entertainment,93,9,kaipereira,2026-04-05 13:40:47,0.09574468085106383,False
47645025,"Show HN: Contrapunk – Real-time counterpoint harmony from guitar input, in Rust",entertainment,54,18,waveywaves,2026-04-05 13:40:49,0.32727272727272727,False
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,68,12,laszlokorte,2026-04-05 13:40:52,0.17391304347826086,False
47639567,Show HN: TurboQuant-WASM – Google's vector quantization in the browser,entertainment,152,6,teamchong,2026-04-05 13:40:54,0.0392156862745098,True
47625952,Show HN: I built a frontpage for personal blogs,entertainment,755,190,ramkarthikk,2026-04-05 13:41:29,0.25132275132275134,True
47642275,"Netflix must refund customers for years of price hikes, Italian court rules",entertainment,55,5,xbmcuser,2026-04-05 13:41:29,0.08928571428571429,False
47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,entertainment,532,183,detaro,2026-04-05 13:41:45,0.3433395872420263,True
47638532,"Show HN: Ownscribe – local meeting transcription, summarization and search",entertainment,11,0,paberr,2026-04-05 13:42:06,0.0,False
47635033,Show HN: Travel Hacking Toolkit – Points search and trip planning with AI,entertainment,92,37,borski,2026-04-05 13:42:08,0.3978494623655914,False
47626598,Show HN: ctx – an Agentic Development Environment (ADE),entertainment,48,52,luca-ctx,2026-04-05 13:42:10,1.0612244897959184,False
47630109,Firm boosts H.264 streaming license fees from $100k up to staggering $4.5M,entertainment,185,69,MaximilianEmel,2026-04-05 13:42:14,0.3709677419354839,True
47640770,Show HN: DocMason – Agent Knowledge Base for local complex office files,entertainment,6,0,Jet_Xu,2026-04-05 13:42:30,0.0,False
47632692,Show HN: Mtproto.zig – High-performance Telegram proxy with DPI evasion,entertainment,21,14,slp3r,2026-04-05 13:42:37,0.6363636363636364,False
47631030,Show HN: Ismcpdead.com – Live dashboard tracking MCP adoption and sentiment,entertainment,35,23,sagirodin,2026-04-05 13:42:41,0.6388888888888888,False
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,152,117,kasparnoor,2026-04-05 13:42:44,0.7647058823529411,True
47621438,Show HN: Made a little Artemis II tracker,entertainment,149,55,codingmoh,2026-04-05 13:42:48,0.36666666666666664,True
